,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
194,71,Dance Monkey,Tones And I,02/09/20 - 08/09/20,85.64299999999999,,,,
195,72,Спой,Миша Марвин feat. Мот,02/09/20 - 08/09/20,86.85700000000001,,,,
196,73,Ураган,"GUF, Murovei, V $ X V PRiNCE",02/09/20 - 08/09/20,86.929,,,,
197,74,Лето на ветер,"GUF, Кравц",02/09/20 - 08/09/20,87.429,,,,
198,75,I Got Love,"Miyagi & Эндшпиль, Рем Дигга",02/09/20 - 08/09/20,89.0,,,,
199,76,Kosandra,Miyagi & Andy Panda,02/09/20 - 08/09/20,89.0,,,,
200,77,Положение,"Dior, Samo & ID",02/09/20 - 08/09/20,89.5,,,,
201,78,ВЕЧЕРиНОЧКА,"MONATIK, Вера Брежнева",02/09/20 - 08/09/20,89.571,,,,
202,79,Золото,Супер Жорик,02/09/20 - 08/09/20,90.85700000000001,,,,
203,80,Прыгну со скалы,Король и Шут,02/09/20 - 08/09/20,90.85700000000001,,,,
204,81,Numb,Linkin Park,02/09/20 - 08/09/20,91.14299999999999,,,,
205,82,3-е сентября,Михаил Шуфутинский,02/09/20 - 08/09/20,91.286,,,,
206,83,Кометы,polnalyubvi,02/09/20 - 08/09/20,91.929,,,,
207,84,Под гипнозом,Artik & Asti,02/09/20 - 08/09/20,92.571,,,,
208,85,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,02/09/20 - 08/09/20,92.714,,,,
209,86,Лесник,Король и Шут,02/09/20 - 08/09/20,94.571,,,,
210,87,Чувства,Artik & Asti,02/09/20 - 08/09/20,96.071,,,,
211,88,ily,"Surf Mesa, Emilee",02/09/20 - 08/09/20,96.071,,,,
212,89,Лига легенд,Noize MC,02/09/20 - 08/09/20,96.35700000000001,,,,
213,90,ERRDAY,Big Baby Tape,02/09/20 - 08/09/20,98.429,,,,
214,91,Времена,Макс Корж,02/09/20 - 08/09/20,100.5,,,,
215,92,In The End (Mellen Gi Remix),"Tommee Profitt, Fleurie, Mellen Gi",02/09/20 - 08/09/20,102.714,,,,
216,93,2 типа людей,Макс Корж,02/09/20 - 08/09/20,103.85700000000001,,,,
217,94,Перемен,КИНО,02/09/20 - 08/09/20,107.64299999999999,,,,
218,95,Фаталити,"KAREENA, Елена Темникова",02/09/20 - 08/09/20,109.0,,,,
219,96,Меня не будет,"ANIKV, SALUKI",02/09/20 - 08/09/20,109.071,,,,
220,97,Втюрилась,дора,02/09/20 - 08/09/20,109.429,,,,
221,98,Камин,"EMIN, JONY",02/09/20 - 08/09/20,109.64299999999999,,,,
222,99,Девочка-война,HammAli & Navai,02/09/20 - 08/09/20,111.35700000000001,,,,
223,100,Позови меня с собой (Cover),TSOY,02/09/20 - 08/09/20,111.786,,,,
224,101,Femme Like U,"Monaldin, Emma Peters",02/09/20 - 08/09/20,113.571,,,,
225,102,Give It Away,"Filatov & Karas, Deepest Blue",02/09/20 - 08/09/20,119.14299999999999,,,,
226,103,Мадам,"JONY, Andro",02/09/20 - 08/09/20,119.85700000000001,,,,
227,104,Natalie Don't,RAYE,02/09/20 - 08/09/20,125.35700000000001,,,,
228,105,БАУНТИ,"Зомб, Gidayyat, Gazan",02/09/20 - 08/09/20,125.714,,,,
229,106,Босая,#2Маши,02/09/20 - 08/09/20,126.85700000000001,,,,
230,107,Мир сошёл с ума,JONY,02/09/20 - 08/09/20,126.85700000000001,,,,
231,108,Believer,Imagine Dragons,02/09/20 - 08/09/20,127.714,,,,
232,109,Небесные розы,JONY,02/09/20 - 08/09/20,132.571,,,,
233,110,Что такое осень,ДДТ,02/09/20 - 08/09/20,133.286,,,,
234,111,ОСТАНОВИТЕ МУЗЫКУ,ФОГЕЛЬ,02/09/20 - 08/09/20,133.286,,,,
235,112,ПеретанцуйМеня (Remix),"Артур Пирожков, DJ Nejtrino",02/09/20 - 08/09/20,133.714,,,,
236,113,Минимум,"Фейджи, Ямаджи",02/09/20 - 08/09/20,134.429,,,,
237,114,Районы-кварталы,Звери,02/09/20 - 08/09/20,134.429,,,,
238,115,Another One Bites The Dust (из фильма «Богемская рапсодия»),Queen,02/09/20 - 08/09/20,134.571,,,,
