,rank,title,artist,date
473,74,3-е Сентября,Михаил Шуфутинский,05/09/2020
474,75,I Feel It Coming,The Weeknd,05/09/2020
475,76,Obey,Bring Me the Horizon,05/09/2020
476,77,Seven Nation Army,The White Stripes,05/09/2020
477,78,Higher Love,Kygo,05/09/2020
478,79,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,05/09/2020
479,80,Eye of the Tiger,Survivor,05/09/2020
480,81,Nothing Else Matters,Metallica,05/09/2020
481,82,Любимый человек,ANIVAR,05/09/2020
482,83,Dynamite,BTS,05/09/2020
483,84,Savage Love (Laxed - Siren Beat),Jawsh 685,05/09/2020
484,85,UNO,Little Big,05/09/2020
485,86,Supalonely,BENEE,05/09/2020
486,87,ПЛАКАЛА,KAZKA,05/09/2020
487,88,Shine,Звонкий,05/09/2020
488,89,Highway to Hell,AC/DC,05/09/2020
489,90,Physical,Dua Lipa,05/09/2020
490,91,Losing My Religion,R.E.M.,05/09/2020
491,92,Прятки,HammAli & Navai,05/09/2020
492,93,Believer,Imagine Dragons,05/09/2020
493,94,Там ревели горы,Miyagi & Andy Panda,05/09/2020
494,95,Mr. Brightside,The Killers,05/09/2020
495,96,Creep,Radiohead,05/09/2020
496,97,Salt,Ava Max,05/09/2020
497,98,МАЛЬЧИК,ФОГЕЛЬ,05/09/2020
498,99,"Мама, я танцую",#2Маши,05/09/2020
499,100,Falling,Trevor Daniel,05/09/2020
500,1,Blinding Lights,The Weeknd,06/09/2020
501,2,Юность,DaBro,06/09/2020
502,3,Take Off Panties,XOLERA,06/09/2020
503,4,Краш,Клава Кока,06/09/2020
504,5,Dance Monkey,Tones and I,06/09/2020
505,6,Сияй,Ramil',06/09/2020
506,7,Roses (Imanbek Remix),SAINt JHN,06/09/2020
507,8,MAMACITA,Black Eyed Peas,06/09/2020
508,9,Lovefool,twocolors,06/09/2020
509,10,Fly 2,Zivert,06/09/2020
510,11,ily (i love you baby),Surf Mesa,06/09/2020
511,12,Поболело и прошло,Hensy,06/09/2020
512,13,Ride It,Regard,06/09/2020
513,14,Intihask,Hafex,06/09/2020
514,15,Life,Zivert,06/09/2020
515,16,Lollipop,Gafur,06/09/2020
516,17,Breaking Me,Topic,06/09/2020
517,18,Комета,Jony,06/09/2020
518,19,Двигаться,RaiM,06/09/2020
519,20,А если это любовь?,HammAli & Navai,06/09/2020
520,21,БЕГИ feat. Poët,Dj Smash,06/09/2020
521,22,Таблетка,Джаро & Ханза,06/09/2020
522,23,Плачу на техно,Cream Soda,06/09/2020
523,24,Cadillac,Morgenshtern,06/09/2020
524,25,Say So,Doja Cat,06/09/2020
525,26,Ты беспощадна,Jony,06/09/2020
526,27,неболей,Баста,06/09/2020
527,28,Любимка,NILETTO,06/09/2020
528,29,Грустный дэнс (feat. Артем Качер),Artik & Asti,06/09/2020
529,30,Девочка танцуй,Artik & Asti,06/09/2020
530,31,X.O,The Limba,06/09/2020
531,32,bad guy,Billie Eilish,06/09/2020
532,33,Пряталась в ванной,Мари Краймбрери,06/09/2020
533,34,Djadja,Aya Nakamura,06/09/2020
534,35,Одуванчик,Тима Белорусских,06/09/2020
535,36,Август,Intelligency,06/09/2020
536,37,WAP (feat. Megan Thee Stallion),Cardi B,06/09/2020
537,38,Coco L'Eau,Егор Крид,06/09/2020
538,39,Девочка-война,HammAli & Navai,06/09/2020
539,40,ЯТЛ,Zivert,06/09/2020
540,41,Луна не знает пути,Тайпан,06/09/2020
541,42,Break My Heart,Dua Lipa,06/09/2020
542,43,everything i wanted,Billie Eilish,06/09/2020
543,44,Toosie Slide,Drake,06/09/2020
